Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-17 00:00:00-04:00,16.600220743130226,16.671628379300085,16.542023116446618,16.57002067565918,199544800,0.0,0.0
2014-03-18 00:00:00-04:00,16.543596737971583,16.734544640802177,16.52157669395884,16.71661376953125,209647200,0.0,0.0
2014-03-19 00:00:00-04:00,16.74367001684863,16.868870280482554,16.641116446903702,16.71221160888672,224756000,0.0,0.0
2014-03-20 00:00:00-04:00,16.66911760313694,16.756571156111413,16.589215749722932,16.631683349609375,208398400,0.0,0.0
2014-03-21 00:00:00-04:00,16.733291181820015,16.790544656958144,16.557129098350472,16.762861251831055,374046400,0.0,0.0
2014-03-24 00:00:00-04:00,16.937445465127258,17.0028772608997,16.831746915020105,16.961668014526367,355700800,0.0,0.0
2014-03-25 00:00:00-04:00,17.034337026286984,17.16803146469263,16.974251053988038,17.144123077392578,282293200,0.0,0.0
2014-03-26 00:00:00-04:00,17.19226159211194,17.27027678923774,16.95129598874063,16.980236053466797,299768000,0.0,0.0
2014-03-27 00:00:00-04:00,16.98777554932767,17.034333979426368,16.833633595675742,16.907243728637695,222031600,0.0,0.0
2014-03-28 00:00:00-04:00,16.934302766063013,16.953806139768258,16.806269980577362,16.88837432861328,200564000,0.0,0.0
2014-03-31 00:00:00-04:00,16.962932850897406,17.012636304815246,16.859120925107607,16.88460350036621,168669200,0.0,0.0
2014-04-01 00:00:00-04:00,16.91668377527315,17.045976559711157,16.885541214362437,17.03905487060547,200760000,0.0,0.0
2014-04-02 00:00:00-04:00,17.062021951320975,17.0966253625952,16.995331801593263,17.06736946105957,180420800,0.0,0.0
2014-04-03 00:00:00-04:00,17.030881152782598,17.065798731777967,16.91291504210526,16.9490909576416,162344000,0.0,0.0
2014-04-04 00:00:00-04:00,16.98117208708884,16.987147923666853,16.69081732630597,16.72982406616211,275251200,0.0,0.0
2014-04-07 00:00:00-04:00,16.610290198619957,16.70088874526357,16.417455592906666,16.4671573638916,289850400,0.0,0.0
2014-04-08 00:00:00-04:00,16.521266095591002,16.550521999245323,16.317104778272533,16.466215133666992,243888400,0.0,0.0
2014-04-09 00:00:00-04:00,16.441046443612603,16.68798949252058,16.421543070175503,16.682641983032227,206169600,0.0,0.0
2014-04-10 00:00:00-04:00,16.693971708174825,16.743046844632097,16.457725268006453,16.467477798461914,239652000,0.0,0.0
2014-04-11 00:00:00-04:00,16.326538939181944,16.44702338056612,16.26802882093655,16.34572982788086,271717600,0.0,0.0
2014-04-14 00:00:00-04:00,16.417764811408958,16.425943156063884,16.270228683449584,16.410844802856445,205674000,0.0,0.0
2014-04-15 00:00:00-04:00,16.36648515351513,16.409581055195847,16.085252978653568,16.2938175201416,266490000,0.0,0.0
2014-04-16 00:00:00-04:00,16.2966641536874,16.392296088407974,16.17366464844879,16.32686424255371,214765600,0.0,0.0
2014-04-17 00:00:00-04:00,16.357998776695265,16.602111001536212,16.33283204835437,16.513399124145508,284334400,0.0,0.0
2014-04-21 00:00:00-04:00,16.52597774867135,16.73988983815331,16.48256599474474,16.70937728881836,182548800,0.0,0.0
2014-04-22 00:00:00-04:00,16.619410495389847,16.73014241092741,16.562472877245934,16.72605323791504,202563200,0.0,0.0
2014-04-23 00:00:00-04:00,16.643008133733733,16.708125791275833,16.49798694393261,16.50742530822754,394940000,0.0,0.0
2014-04-24 00:00:00-04:00,17.874574732821742,17.930884027499335,17.63927086276943,17.860733032226562,759911600,0.0,0.0
2014-04-25 00:00:00-04:00,17.758807913442386,17.993481754806012,17.74087872108077,17.991910934448242,390275200,0.0,0.0
2014-04-28 00:00:00-04:00,18.018967550046035,18.740921755755522,18.011101686696968,18.688701629638672,669485600,0.0,0.0
2014-04-29 00:00:00-04:00,18.67768723323078,18.74815238574387,18.544621110044567,18.633331298828125,337377600,0.0,0.0
2014-04-30 00:00:00-04:00,18.643085805614653,18.856683794367026,18.553745599181795,18.562868118286133,456640800,0.0,0.0
2014-05-01 00:00:00-04:00,18.622954595853574,18.711036476135718,18.445534178735645,18.606597900390625,244048000,0.0,0.0
2014-05-02 00:00:00-04:00,18.633652679294535,18.692164494398344,18.550918303315374,18.64120101928711,191514400,0.0,0.0
2014-05-05 00:00:00-04:00,18.564442989901337,18.906073782977273,18.5600379722251,18.904813766479492,287067200,0.0,0.0
2014-05-06 00:00:00-04:00,18.931238062740213,19.013342414419213,18.698766708374023,18.698766708374023,374564400,0.0,0.0
2014-05-07 00:00:00-04:00,18.72518816836072,18.789361639397487,18.488625984916148,18.633331298828125,282864400,0.0,0.0
2014-05-08 00:00:00-04:00,18.60834075438481,18.80320351096954,18.549819757297012,18.600116729736328,230297200,0.1175,0.0
2014-05-09 00:00:00-04:00,18.490981319563808,18.545074386039893,18.35780381485172,18.522615432739258,291597600,0.0,0.0
2014-05-12 00:00:00-04:00,18.584305251547825,18.779482287217874,18.58145691360842,18.75322723388672,213208800,0.0,0.0
2014-05-13 00:00:00-04:00,18.726966106728227,18.80731422101187,18.685844293234155,18.78264045715332,159737200,0.0,0.0
2014-05-14 00:00:00-04:00,18.74057373797791,18.8977915191972,18.718746616698827,18.78612518310547,166404000,0.0,0.0
2014-05-15 00:00:00-04:00,18.81238236390811,18.872484661485366,18.60170333530262,18.62637710571289,230846000,0.0,0.0
2014-05-16 00:00:00-04:00,18.620367769138728,18.90190556520617,18.518192503123576,18.901273727416992,276256400,0.0,0.0
2014-05-19 00:00:00-04:00,18.91201732398916,19.21190189064533,18.895567588902313,19.125226974487305,317755200,0.0,0.0
2014-05-20 00:00:00-04:00,19.1227034041056,19.182489774948525,19.003128973014263,19.129030227661133,234836000,0.0,0.0
2014-05-21 00:00:00-04:00,19.101194605782613,19.191981578760373,19.045204322032845,19.179645538330078,196859600,0.0,0.0
